,pos_similarity_interval,duration_seconds
0,0.0-0.25,0.0
1,0.25-0.5,0.0
2,0.5-0.75,4.0
3,0.75-1.0,31.0
4,1.0-1.25,24.0
5,1.25-1.5,0.0
6,1.5-1.75,0.0
7,1.75-2.0,0.0
8,2.0-2.25,0.0
9,2.25-2.5,0.0
10,2.5-2.75,0.0
11,2.75-3.0,0.0
12,3.0-3.25,0.0
13,3.25-3.5,0.0
14,3.5-3.75,0.0
15,3.75-4.0,0.0
16,4.0-4.25,0.0
17,4.25-4.5,0.0
18,4.5-4.75,0.0
19,4.75-5.0,0.0
20,5.0-5.25,0.0
21,5.25-5.5,0.0
22,5.5-5.75,0.0
23,5.75-6.0,0.0
24,6.0-6.25,0.0
25,6.25-6.5,0.0
26,6.5-6.75,0.0
27,6.75-7.0,0.0
28,7.0-7.25,0.0
29,7.25-7.5,0.0
30,7.5-7.75,0.0
31,7.75-8.0,0.0
32,8.0-8.25,0.0
33,8.25-8.5,0.0
34,8.5-8.75,0.0
35,8.75-9.0,0.0
36,9.0-9.25,0.0
37,9.25-9.5,0.0
38,9.5-9.75,0.0
39,9.75-10.0,0.0
